id,title,announcement,description,releaseDate
18,✨ Onboarding Event Details,📢 Event Details Revealed!,announce_general-25092201.html,2025-09-22T00:00:00Z
17,📢 Open Beta Notice,📢 PLAY3 : 2 Months In!,announce_general-25091101.html,2025-09-11T00:00:00Z
16,🐛Inbox Item Issue,📢 Issue Resolved,announce_general-25090801.html,2025-09-08T00:00:00Z
15,🛠️ 0.0.2b Update Info,🛠️ PLAY3 Notice,announce_general-25082701.html,2025-08-27T02:00:00Z
14,✨ Meta Match Pre-Event!,📢 Meta Match Onboarding Soon,announce_general-25082501.html,2025-08-25T10:00:00Z
13,🛠️ 0.0.2a Update Info,🛠️ PLAY3 Notice,announce_general-25082101.html,2025-08-21T02:00:00Z
12,✨ Ongoing Events on PLAY3,📢 PLAY3 Event Details,announce_general-25081401.html,2025-08-14T00:00:00Z
11,🐛Tree Listing Issue,📢 Fix in Progress,announce_general-25081301.html,2025-08-13T07:40:00Z
10,✨ XPLA x PLAY3 Airdrop,📢 $XPLA Events & Rewards,announce_general-25081201.html,2025-08-12T06:01:00Z
9,🐛 On-chain Access Issue,📢 Fix in Progress,announce_general-25081101.html,2025-08-11T10:10:00Z
8,🛠️ Pawn Shop Update,🛠️ PLAY3 Notice,announce_general-25080702.html,2025-08-07T10:10:00Z
7,🛠️ 0.0.2 Update Info,🛠️ PLAY3 Notice,announce_general-25080701.html,2025-08-07T02:00:00Z
6,🛠️ 0.0.1c Update Info,🛠️ PLAY3 Notice,announce_general-25072401.html,2025-07-24T07:00:00Z
5,🛠️ 0.0.1b Update Info,🛠️ PLAY3 Notice,announce_general-25071701.html,2025-07-17T02:00:00Z
4,🛠️ 0.0.1a Update Info,🛠️ PLAY3 Notice,announce_general-25071101.html,2025-07-11T09:30:00Z
3,✨ Beta Open Event Begins,📢 PLAY3 Open Beta: Live!,announce_general-25071002.html,2025-07-10T07:00:00Z
2,📢 Pre-Registration Rewards,📢 Pre-Registration Rewards,announce_general-25071001.html,2025-07-10T06:58:00Z
1,🛠️ 0.0.1 Update Info,🛠️Getting ready for Open Beta!,announce_general-25070901.html,2025-07-09T07:00:00Z
